ID,medv
1,26.126953125
3,34.748046875
4,34.013671875
8,21.779296875
16,18.978515625
18,16.84765625
25,16.591796875
29,18.23046875
32,16.30078125
33,1.77734375
34,16.41015625
38,22.955078125
43,24.244140625
47,25.89453125
48,28.908203125
49,43.0
59,21.17578125
61,20.783203125
62,17.08203125
63,24.693359375
65,32.9296875
66,31.625
68,21.072265625
73,20.7890625
75,24.412109375
78,19.447265625
79,18.41015625
81,29.443359375
83,25.435546875
84,23.7109375
85,25.078125
87,25.150390625
91,30.017578125
92,29.919921875
93,24.099609375
96,32.681640625
100,36.482421875
102,32.37109375
109,20.306640625
111,22.603515625
114,18.60546875
115,19.251953125
116,15.04296875
122,17.916015625
123,20.015625
125,20.384765625
126,17.5234375
127,29.693359375
129,18.84765625
135,18.275390625
137,14.798828125
138,20.34375
140,13.509765625
141,11.20703125
145,25.74609375
146,15.837890625
147,22.82421875
152,17.287109375
153,81.6640625
155,38.009765625
156,-110.85546875
160,20.8828125
164,34.087890625
165,20.37109375
166,23.53125
171,20.17578125
172,18.873046875
173,38.099609375
174,28.59765625
183,34.33984375
196,47.546875
200,34.82421875
202,22.28515625
203,48.7890625
207,22.353515625
212,29.30078125
214,23.46484375
215,15.05859375
217,13.427734375
218,24.72265625
223,53.45703125
225,52.779296875
228,30.2890625
229,40.033203125
233,56.01953125
235,68.029296875
237,47.87890625
238,33.45703125
240,24.75
243,19.701171875
244,22.32421875
248,18.962890625
249,19.021484375
251,23.98046875
252,21.2109375
259,34.42578125
260,29.583984375
262,35.419921875
265,32.9140625
266,36.111328125
274,101.734375
276,31.498046875
277,28.8046875
278,72.44921875
282,27.763671875
284,-1100.9609375
288,26.04296875
291,32.45703125
292,33.455078125
294,25.255859375
296,28.8984375
298,24.4375
299,27.333984375
306,25.205078125
307,32.134765625
311,23.671875
312,24.875
313,23.37109375
316,24.904296875
317,25.15625
318,25.791015625
323,21.189453125
324,19.798828125
325,25.1796875
328,20.046875
331,18.068359375
332,21.591796875
333,18.861328125
335,21.337890625
336,19.529296875
339,20.580078125
340,19.890625
344,26.541015625
345,23.0390625
346,19.326171875
348,26.779296875
351,28.529296875
354,32.251953125
357,96.232421875
358,138.193359375
360,23.033203125
364,110.951171875
367,26.10546875
369,41.92578125
370,78.47265625
371,110.11328125
374,9.455078125
376,4.2421875
377,6.390625
378,15.333984375
379,-1.796875
381,-167.013671875
383,13.31640625
386,10.724609375
391,19.271484375
396,18.79296875
399,14.78125
403,14.775390625
405,8.177734375
407,21.125
411,45.21484375
414,15.298828125
417,6.603515625
420,6.0078125
421,20.296875
423,22.912109375
429,16.77734375
431,23.8828125
435,21.763671875
436,13.806640625
437,14.220703125
439,-7.732421875
440,12.845703125
444,13.015625
445,9.7734375
447,20.126953125
449,14.01953125
451,9.14453125
457,8.689453125
459,15.978515625
461,23.685546875
468,17.896484375
469,4.1953125
473,23.939453125
475,19.3984375
477,20.6953125
479,15.52734375
483,28.41796875
485,21.412109375
486,18.125
487,17.314453125
488,23.650390625
490,5.796875
491,-4.736328125
492,17.03515625
495,22.158203125
499,20.6640625
500,21.654296875
501,19.353515625
503,16.37890625
504,27.341796875
505,23.90625
